start,end,duration_days,max_intensity_degC,mean_intensity_degC
2014-01-15,2014-01-20,6,0.17299938201904297,0.07558337847391765
2014-02-08,2014-02-20,13,0.3965001106262207,0.20873080767118013
2014-02-22,2014-02-27,6,0.20300054550170898,0.1338334083557129
2014-10-03,2014-10-28,26,0.7945003509521484,0.3855576515197754
2014-11-12,2014-11-27,16,0.4530000686645508,0.2150936722755432
2014-12-03,2014-12-15,13,0.35699939727783203,0.17457697941706732
2014-12-17,2014-12-30,14,0.24200057983398438,0.15589298520769393
2015-01-21,2015-01-25,5,0.04949951171875,0.03240013122558594
2015-03-10,2015-03-19,10,0.19449996948242188,0.12484984397888184
2015-05-03,2015-05-15,13,1.0929994583129883,0.6728078402005709
2015-05-17,2015-05-21,5,0.3710002899169922,0.19799976348876952
2015-06-07,2015-06-12,6,0.6059999465942383,0.3309165636698405
2015-07-16,2015-07-28,13,0.7014999389648438,0.4806923499474159
2015-09-01,2015-09-08,8,0.37000083923339844,0.18881261348724365
2016-01-06,2016-01-14,9,0.2674999237060547,0.12511126200358072
2016-01-30,2016-02-07,9,0.20749950408935547,0.1370001898871528
2017-03-01,2017-03-07,7,0.24599981307983398,0.11521434783935547
2017-03-22,2017-04-01,11,0.37000036239624023,0.2367273677479137
2017-04-08,2017-04-17,10,0.4205007553100586,0.24400033950805664
2018-04-22,2018-05-02,11,1.197500228881836,0.6577269814231179
2018-05-25,2018-06-06,13,0.7119989395141602,0.3467691128070538
2018-07-29,2018-08-04,7,0.41899967193603516,0.257357052394322
2018-08-06,2018-08-22,17,0.6964988708496094,0.30538205539478974
2018-09-10,2018-09-25,16,0.5650005340576172,0.3198751211166382
2019-07-01,2019-07-10,10,0.7719993591308594,0.5050498962402343
2019-08-23,2019-08-31,9,0.41750049591064453,0.24011241065131295
2019-09-27,2019-10-02,6,0.2135000228881836,0.13066641489664713
2019-10-29,2019-11-05,8,0.5019989013671875,0.30231213569641113
2019-12-31,2020-01-06,7,0.4565000534057617,0.3259281430925642
2020-03-12,2020-03-19,8,0.25349998474121094,0.16237473487854004
2020-09-15,2020-09-19,5,0.40849971771240234,0.2311004638671875
2020-09-24,2020-09-29,6,0.8859996795654297,0.678166389465332
2021-02-25,2021-03-03,7,0.29149866104125977,0.17757088797433035
2021-03-06,2021-03-18,13,0.3104991912841797,0.12407654982346755
2021-07-01,2021-07-06,6,0.7709999084472656,0.4119998613993327
2021-09-25,2021-10-13,19,0.97650146484375,0.6247889870091489
2022-01-16,2022-01-22,7,0.1615009307861328,0.08964320591517858
2022-06-01,2022-06-10,10,1.2184991836547852,0.7376500129699707
2022-06-25,2022-07-09,15,2.061001777648926,1.220066452026367
2022-07-23,2022-08-05,14,1.234999656677246,0.6356432097298759
2022-09-09,2022-09-16,8,0.7854995727539062,0.4445003271102905
2022-10-28,2022-11-20,24,0.9625015258789062,0.4078127940495809
2022-12-16,2022-12-22,7,0.29399871826171875,0.14878572736467635
2022-12-24,2023-02-06,45,1.241501808166504,0.6149112171596951
2023-07-09,2023-07-30,22,2.2659988403320312,1.4085450172424316
2023-09-29,2023-11-26,59,1.6020011901855469,0.6615932270631952
2024-01-01,2024-01-06,6,0.41250133514404297,0.22374995549519858
2024-01-15,2024-01-24,10,0.6225004196166992,0.36690053939819334
2024-01-27,2024-01-31,5,0.24300050735473633,0.1490006446838379
2024-02-13,2024-03-09,26,0.7129993438720703,0.3868461022010216
2024-03-11,2024-04-19,40,1.6420001983642578,0.7048749446868896
2024-05-17,2024-05-21,5,0.19299983978271484,0.10609931945800781
2024-07-14,2024-09-14,63,1.8984975814819336,1.1499126222398546
2024-10-21,2024-11-26,37,1.3175010681152344,0.6850949364739496
2024-11-28,2024-12-24,27,0.7089996337890625,0.4055002000596788
